종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
139480,이마트,"111,300","-6,300","5.36","85,408,961,500","3,071,414,654,700"
457190,이수스페셜티케미컬,"99,700","-3,000","2.92","24,600,346,450","3,012,293,527,200"
007660,이수페타시스,"101,600","-6,600","6.10","188,791,224,650","7,458,376,650,400"
030000,제일기획,"22,200","200","0.91","8,911,427,100","2,553,915,195,000"
185750,종근당,"94,000","-1,300","1.36","6,105,406,300","1,297,461,320,000"
071320,지역난방공사,"91,500","-1,600","1.72","6,367,350,450","1,059,455,076,000"
035720,카카오,"57,400","-1,400","2.38","182,410,631,900","25,405,565,400,600"
323410,카카오뱅크,"27,400","-1,150","4.03","53,013,882,975","13,070,113,373,800"
377300,카카오페이,"62,500","-1,200","1.88","34,572,159,850","8,446,954,375,000"
192820,코스맥스,"203,000","-6,000","2.87","9,840,074,750","2,303,950,327,000"
005420,코스모화학,"16,870","-430","2.49","4,202,824,625","647,946,806,360"
120110,코오롱인더,"62,700","0","0.00","17,425,476,550","1,725,447,005,700"
021240,코웨이,"89,600","1,700","1.93","50,332,505,850","6,443,058,316,800"
259960,크래프톤,"257,000","-1,000","0.39","34,221,532,000","12,182,784,567,000"
039490,키움증권,"469,500","17,000","3.76","116,071,008,250","12,729,153,016,500"
003240,태광산업,"1,100,000","-87,000","7.33","10,021,274,500","1,224,740,000,000"
034230,파라다이스,"20,500","-250","1.20","12,621,237,125","1,894,313,959,500"
028670,팬오션,"5,080","-40","0.78","14,416,671,795","2,715,613,120,960"
022100,포스코DX,"38,600","-2,550","6.20","24,880,421,525","5,868,540,539,400"
047050,포스코인터내셔널,"65,800","-3,200","4.64","42,514,770,350","11,575,719,450,400"
003670,포스코퓨처엠,"224,000","-3,500","1.54","76,667,216,000","19,923,953,280,000"
103140,풍산,"109,900","-3,100","2.74","21,378,617,950","3,079,868,152,200"
086790,하나금융지주,"127,600","-2,400","1.85","164,737,947,600","35,514,373,866,400"
352820,하이브,"390,000","9,500","2.50","256,259,483,000","16,785,399,150,000"
000080,하이트진로,"18,120","-200","1.09","2,875,518,440","1,270,821,031,320"
036460,한국가스공사,"42,000","-650","1.52","12,427,886,675","3,877,146,000,000"
071050,한국금융지주,"257,500","11,000","4.46","135,586,228,250","14,349,442,940,000"
000240,한국앤컴퍼니,"30,550","50","0.16","4,785,006,900","2,900,271,582,000"
015760,한국전력,"59,800","-300","0.50","120,989,949,900","38,389,451,804,600"
017960,한국카본,"34,900","0","0.00","16,941,233,375","1,811,604,974,800"
161890,한국콜마,"72,400","0","0.00","19,657,148,700","1,709,007,574,800"
161390,한국타이어앤테크놀로지,"72,100","-1,400","1.90","23,568,319,300","8,931,392,474,900"
047810,한국항공우주,"176,700","11,200","6.77","428,617,222,200","17,223,851,406,900"
042700,한미반도체,"202,500","-7,000","3.34","222,660,517,250","19,300,720,500,000"
008930,한미사이언스,"41,550","-350","0.84","6,774,113,125","2,841,668,902,500"
128940,한미약품,"601,000","-13,000","2.12","47,118,881,000","7,699,405,591,000"
009240,한샘,"48,600","2,300","4.97","13,002,827,425","1,143,748,900,800"
014680,한솔케미칼,"302,500","-2,500","0.82","16,396,973,750","3,428,896,487,500"
018880,한온시스템,"4,460","70","1.59","358,786,764,749","4,577,130,981,920"
009420,한올바이오파마,"54,500","400","0.74","15,188,661,100","2,847,114,771,000"
300720,한일시멘트,"18,020","-10","0.06","1,583,682,925","1,325,284,666,180"
051600,한전KPS,"58,300","500","0.87","24,472,425,200","2,623,500,000,000"
052690,한전기술,"147,800","200","0.14","70,999,594,000","5,648,916,000,000"
180640,한진칼,"136,100","7,600","5.91","31,584,533,800","9,086,346,171,900"
000880,한화,"117,800","-2,100","1.75","33,756,677,850","8,830,138,983,000"
088350,한화생명,"4,830","335","7.45","201,606,222,535","4,194,999,900,000"
009830,한화솔루션,"45,900","-1,650","3.47","224,946,154,400","7,889,867,402,400"
272210,한화시스템,"103,400","-2,400","2.27","114,838,400,150","19,534,264,822,600"
012450,한화에어로스페이스,"1,105,000","-26,000","2.30","263,449,100,500","56,977,558,105,000"
082740,한화엔진,"54,000","-1,000","1.82","26,845,016,450","4,506,145,668,000"
