date,f01_raw,f01_score,f02_raw,f02_score,f03_raw,f03_score,f04_raw,f04_score,f05_raw,f05_score,f06_raw,f06_score,f07_raw,f07_score,f08_raw,f08_score,f10_score,index_score_total_raw,index_score_total,bucket_5pt,w_f08_applied
2017-03-13,,,,,,,,,6.2090000000000005,,10.7,,0.07218574317891013,,,,,0.0,0.0,0.0,
2017-03-14,,,,,,,,,6.210000000000001,,11.11,,0.06177945840391019,,,,,0.0,0.0,0.0,
2017-03-15,,,,,,,,,6.209,,11.38,,0.06938842461651706,,,,,0.0,0.0,0.0,
2017-03-16,,,,,,,,,6.199,,11.27,,-0.007177572825988632,,,,,0.0,0.0,0.0,
2017-03-17,,,,,,,,,6.196,,11.25,,-0.027959371073745132,,,,,0.0,0.0,0.0,
2017-03-20,,,,,,,,,6.199,,11.74,,-0.028348186516786944,,,,,0.0,0.0,0.0,
2017-03-21,,,,,,,,,6.202,,12.64,,-0.05098924045642317,,,,,0.0,0.0,0.0,
2017-03-22,,,,,,,,,6.2010000000000005,,13.16,,-0.04593222542038067,,,,,0.0,0.0,0.0,
2017-03-23,,,,,,,,,6.201999999999999,,12.75,,-0.05985310044392822,,,,,0.0,0.0,0.0,
2017-03-24,,,,,,,,,6.2010000000000005,,12.36,,-0.03193697435682785,,,,,0.0,0.0,0.0,
2017-03-27,,,,,,,,,6.204000000000001,,12.97,,-0.0522461146958646,,,,,0.0,0.0,0.0,
2017-03-28,,,,,,,,,6.205,,12.25,,-0.05064410429964172,,,,,0.0,0.0,0.0,
2017-03-29,,,,,,,,,6.2059999999999995,,11.55,,-0.05976633723046865,,,,,0.0,0.0,0.0,
2017-03-30,,,,,,,,,6.2059999999999995,,11.2,,-0.08051174839783393,,,,,0.0,0.0,0.0,
2017-03-31,,,,,,,,,6.207000000000001,,11.06,,-0.09050296506926525,,,,,0.0,0.0,0.0,
2017-04-03,,,,,,,,,6.2090000000000005,,11.01,,-0.11854829855038385,,,,,0.0,0.0,0.0,
2017-04-04,,,,,,,,,6.212,,10.94,,-0.1707459204215811,,,,,0.0,0.0,0.0,
2017-04-05,,,,,,,,,6.212,,11.1,,-0.16056129930206464,,,,,0.0,0.0,0.0,
2017-04-06,0.05647209465070624,,,,,,,,6.212999999999999,,11.82,,-0.13849092163252985,,,,,0.0,0.0,0.0,
2017-04-07,0.05413702595003422,,,,,,,,6.212999999999999,,12.63,,-0.12337994866883739,,,,,0.0,0.0,0.0,
2017-04-10,0.04667013832462685,,,,,,,,6.215,,14.77,,-0.049514445245177674,,,,,0.0,0.0,0.0,
2017-04-11,0.039570155532887785,,,,,,,,6.215,,16.68,,-0.05632597835949449,,,,,0.0,0.0,0.0,
2017-04-12,0.04158653302260307,,,,,,,,6.215999999999999,,15.75,,-0.06693609403381862,,,,,0.0,0.0,0.0,
2017-04-13,0.05179764245391727,,,,,,,,6.215,,14.53,,-0.01745941371457449,,,,,0.0,0.0,0.0,
2017-04-14,0.044312187244862855,,,,,,,,6.216000000000001,,16.4,,0.018274479765165497,,,,,0.0,0.0,0.0,
2017-04-17,0.046652788575082704,,,,,,,,6.216000000000001,,15.81,,0.012483832378633153,,,,,0.0,0.0,0.0,
2017-04-18,0.046511243028022786,,,,,,,,6.215000000000001,,15.38,,0.02596258935661999,,,,,0.0,0.0,0.0,
2017-04-19,0.03940107882080368,,,,,,,,6.215,,14.87,,0.028963967785595957,,,,,0.0,0.0,0.0,
2017-04-20,0.04353199513579442,,,,,,,,6.215000000000001,,13.3,,0.02601786260418315,,,,,0.0,0.0,0.0,
2017-04-21,0.05148534836548735,,,,,,,,6.215,,12.89,,0.014037599284748792,,,,,0.0,0.0,0.0,
2017-04-24,0.0579134447006473,,,,,,,,6.215,,12.77,,0.04530927472644919,,,,,0.0,0.0,0.0,
2017-04-25,0.06989795015634837,,,,,,,,6.220000000000001,,12.02,,0.005317210547332696,,,,,0.0,0.0,0.0,
2017-04-26,0.07406340981537696,,,,,,,,6.221000000000001,,12.18,,0.011695122476472086,,,,,0.0,0.0,0.0,
2017-04-27,0.07516823123712801,,,,,,,,6.220000000000001,,11.82,,-0.01196551381266886,,,,,0.0,0.0,0.0,
2017-04-28,0.07367646319959986,,,,,,,,6.219,,12.27,,-0.010140946325589928,,,,,0.0,0.0,0.0,
2017-05-02,0.0817090083635732,,,,,,,,6.217999999999999,,13.18,,-0.006185673258746194,,,,,0.0,0.0,0.0,
2017-05-04,0.09094839959917622,,,,,,,,6.220000000000001,,13.77,,-0.005292166018470823,,,,,0.0,0.0,0.0,
2017-05-08,0.11694877575917939,,,,,,,,6.220000000000001,,15.74,,-0.012886724960577522,,,,,0.0,0.0,0.0,
2017-05-10,0.10184616428522952,,,,,,,,6.221,,16.15,,-0.004106187983016207,,,,,0.0,0.0,0.0,
2017-05-11,0.11359327553867837,,,,,,,,6.223,,14.72,,-0.025701170434670795,,,,,0.0,0.0,0.0,
2017-05-12,0.10660676705343186,,,,,,,,6.224,,12.32,,-0.0851567192768905,,,,,0.0,0.0,0.0,
2017-05-15,0.1072901013370322,,,,,,,,6.225999999999999,,12.89,,-0.06445736594308693,,,,,0.0,0.0,0.0,
