date,n,ret_net_mean,ret_gross_mean,hit_up20,hit_pos,cum_ret_net
2025-05-08,10,0.13525449662224243,0.1386705081466825,0.3,0.9,3.477142608229814
2025-05-09,10,0.15388592481220903,0.15735799880863494,0.4,0.9,4.166111839013404
2025-05-12,10,0.14727209284298018,0.15072426563989988,0.3,0.8,4.926935941405806
2025-05-13,10,0.1447973610987189,0.1482420873608013,0.3,0.7,5.785140625122518
2025-05-14,10,0.16526361351811417,0.16876992328797807,0.4,0.7,6.906477483058822
2025-05-15,10,0.15477146005217207,0.1582461986481164,0.5,0.7,8.13017454698146
2025-05-16,10,0.0987714455590055,0.10207767859478989,0.1,0.7,9.031975085192856
2025-05-19,10,0.10081069104365811,0.10412306022433113,0.2,0.6,10.04330542606391
2025-05-20,10,0.11731555019493008,0.12067758294376137,0.3,0.5,11.338856878093255
2025-05-21,10,0.022359720799586934,0.025436028886245687,0.0,0.6,11.614750272873483
2025-05-22,10,0.2206160731357416,0.22428893995560842,0.5,0.9,14.397766941662855
2025-05-23,10,0.16435353800499292,0.16785710933299192,0.3,0.8,16.928444415901467
2025-05-26,10,0.08635671289677095,0.08962558966576825,0.2,0.7,18.476685943011187
2025-05-27,10,0.05888967032952781,0.06207589802359861,0.2,0.6,19.623661557306864
2025-05-28,10,0.05663081823428408,0.059810248981227734,0.2,0.7,20.791596386284102
2025-05-29,10,0.07854116586636348,0.08178652544269156,0.3,0.8,22.50313377255209
2025-05-30,10,0.07088787371771396,0.07411020433070611,0.2,0.7,24.1692209513913
2025-06-02,10,0.08043693968305356,0.08368800369413595,0.3,0.8,26.193756058927807
2025-06-04,10,0.04917384920035093,0.05233084172552753,0.2,0.5,27.53097771856065
2025-06-05,10,0.0699155082738879,0.07313491301292667,0.2,0.6,29.525735527304786
2025-06-09,10,0.08701711149050309,0.09028797541675339,0.2,0.8,32.18199685901388
2025-06-10,10,0.022162985285261793,0.025238701389430084,0.1,0.6,32.917408967135806
2025-06-11,10,0.039175969970502086,0.04230287860632104,0.1,0.7,34.246156362309556
2025-06-12,10,-0.011716688869188252,-0.008742917622054414,0.0,0.4,33.83318811437762
2025-06-13,10,-0.04131058384980056,-0.03842586143410287,0.1,0.3,32.394208776022744
2025-06-16,10,-0.06928569877206447,-0.06648515423476878,0.1,0.2,30.0804676860358
2025-06-17,10,-0.03857771384645894,-0.035684768150911685,0.1,0.2,28.881454297429798
2025-06-18,10,-0.022783147297611484,-0.01984267532358224,0.1,0.5,28.20066072270461
2025-06-19,10,-0.022416549192214974,-0.019474974114558626,0.2,0.4,27.546082675168922
2025-06-20,10,0.0018539729865164611,0.0048685787226845105,0.2,0.4,27.599006341319548
2025-06-23,10,-0.11554986615942323,-0.11288853175468724,0.0,0.1,24.29439498628758
2025-06-24,10,-0.05891235901655535,-0.05608060081901237,0.2,0.3,22.804242507748846
2025-06-25,10,0.021327876909681864,0.02440108015013226,0.2,0.4,23.31193646188233
2025-06-26,10,0.011717394141017834,0.014761679178553483,0.2,0.5,23.596809003737587
2025-06-27,10,-0.015996897856088977,-0.013036005873710088,0.1,0.4,23.203336362519067
2025-06-30,10,-0.007994256583901183,-0.005009284437212822,0.2,0.4,23.009848681450624
2025-07-01,10,-0.0060743146163825925,-0.003083565312319536,0.1,0.4,22.864005306667753
2025-07-02,10,0.005708475981949512,0.00873468002201555,0.2,0.3,23.00023240779398
