ticker,name,year,reprt_code,revenue,operating_income,net_income,equity,roe
034230,파라다이스,2025,11014,288247272465.0,39511532076.0,33430709755.0,2188051334295.0,0.015278759337596403
034950,한국기업평가,2024,11011,104057473143.0,32680454148.0,28595822551.0,134783166184.0,0.21216167686669604
034950,한국기업평가,2024,11012,38944761558.0,18802331466.0,15411239112.0,120137442077.0,0.12828006694301378
034950,한국기업평가,2024,11013,20624529062.0,3537812571.0,3479837826.0,104726202965.0,0.03322795754528576
034950,한국기업평가,2024,11014,22808427003.0,5787807287.0,5452444481.0,125589886558.0,0.043414677968372464
034950,한국기업평가,2025,11012,42660154133.0,20778807391.0,16807035012.0,132074038198.0,0.12725464626744873
034950,한국기업평가,2025,11013,22056403336.0,4780636641.0,4294230636.0,115267003186.0,0.03725463937906529
034950,한국기업평가,2025,11014,22175345809.0,4589307636.0,4200526958.0,136274565156.0,0.030823998250821466
035250,강원랜드,2024,11011,1426862781802.0,285790454716.0,456893167585.0,3883662813757.0,0.11764491138791941
035250,강원랜드,2024,11012,337951449451.0,73930494058.0,160984663294.0,3738026567151.0,0.0430667520420266
035250,강원랜드,2024,11013,368373713341.0,75803828309.0,92833339264.0,3579558434257.0,0.025934299151417314
035250,강원랜드,2024,11014,375916084229.0,93332408137.0,90878160455.0,3819295837677.0,0.023794480531854945
035250,강원랜드,2025,11012,360822450458.0,58514423002.0,62811314384.0,3781481647280.0,0.016610239118621625
035250,강원랜드,2025,11013,366310886143.0,74262706040.0,74618789704.0,3718554598300.0,0.020066611295182606
035250,강원랜드,2025,11014,384146506525.0,72702168808.0,113069526594.0,3900900014795.0,0.028985497235294307
036570,엔씨소프트,2024,11011,1578123132867.0,-109215374026.0,94115833907.0,3063588634574.0,0.03072078047452577
036570,엔씨소프트,2024,11012,368868769967.0,8843526162.0,71106633849.0,3215764780221.0,0.022111888993358923
036570,엔씨소프트,2024,11013,397910672309.0,25723105144.0,57121548991.0,3265224276740.0,0.017493912867764833
036570,엔씨소프트,2024,11014,401936915171.0,-14291295586.0,-26523925561.0,3115722435262.0,-0.008512929541096819
036570,엔씨소프트,2025,11012,382393317848.0,15078651780.0,-35952980718.0,3079849668140.0,-0.01167361546569022
